term,pos,comment,es
About,,,Acerca de
Add,,,Agregar
Address Book,,,Agenda de direcciones
Airplane Mode,,,Modo avión
Align,,,Alinear
Alignment,,,Alineación
App,,,Aplicación
Apps Developer Preview,,,Versión de prueba para desarrolladores de Apps
Assistive tecnologies,,,tecnologías adaptadas a usuarios con necesidades especiales
Attach,,,Adjuntar
Attachment,,,Adjunto
Authentication,,,Autenticación
Auto-detection,,,Detección automática
Autocomplete,,,Autocompletar
Availability,,,Disponibilidad
Awesome Screen,,,Pantalla Alucinante
Back,,,Atrás
Be offlline,,,Estar desconectado
Be online,,,Estar conectado
Blank page,,,Página en blanco
Block,,,Bloquear
Bookmark,,,"Marcar, marcador"
Border,,,Borde
Browser,,,Navegador
Button,,,Botón
Button labels,,,Botones
By default,,,De manera predeterminada
Cache,,,la (memoria) caché
Cache Options,,,Opciones de la caché
Calendar,,,Calendario
Cancel,,,Cancelar
Certificate,,,Certificado
Character Coding,,,Codificación de caracteres
Charsets,,,Juegos de caracteres
Check Box,,,Casilla de verificación
Check Spelling,,,Revisar ortografía
Clear,,,Borrar
Client,,,Cliente
Close,,,Cerrar
Collapse,,,Contraer
Command,,,"Orden, comando"
Compact,,,Comprimir
Compose,,,Redactar
Composition,,,Redacción
Configuration Error,,,Error de configuración
Confirm,,,Confirmar
Connection,,,Conexión
Console,,,Consola
Container,,,Contenedor
Contents,,,Contenido
Convert,,,Convertir
Copy,,,Copiar
Create,,,Crear
Custom Keyword,,,Palabra clave personalizada
Customer support,,,"Asistencia técnica, servicio técnico"
Customize,,,Personalizar
Cut,,,Cortar
Debug,,,Depurar
Debugger,,,Depurador
Default,,,predeterminada/o
Descending,,,Descendente
Device,,,Dispositivo
Dialog box,,,Cuadro de diálogo
Dialup,,,Marcación
Digital Signing,,,Firma digital
Directory,,,Directorio
Disable,,,Desactivar
Disk,,,Disco
Disk space,,,Espacio en el disco
Domain,,,Dominio
Download,,,Descargar
Download Manager,,,Administrador de descargas
Downloader,,,Descargador
Draft,,,Borrador
Drag,,,Arrastrar
Dump,,,Volcar
Duplicate,,,Duplicar
Edit,,,"Editar, modificar"
Elapsed Time,,,Tiempo transcurrido
Email Address,,,Dirección de correo electrónico
Email Address reminder,,,recordatorio de la dirección de correo
Email provider,,,Proveedor de correo electrónico
Embedded,,,Incrustado
Enable,,,"Habilitar, activar"
Encoding,,,Codificación
Encrypt,,,Cifrar
Encryption,Noun,,Cifrado
Encryption strength,,,Fuerza de cifrado
Engine,,,Motor
Enter,,,escribir
Erase,,,Borrar
Expand,,,Expandir
Expire,,,Caducar (no expirar)
Export,,,Exportar
Expression,,,Expresión
Extension,,,Extensión
FAQ,,,FAQ/Preguntas frecuentes (dependiendo del espacio)
Failure,,,Fallo
File,,,Archivo
Fill in,,,Rellenar
Filter,,,Filtro
